month,workshop,availability_factor,cause
1,PM1,1.00,normal
1,PM2,1.00,normal
1,PM3,1.00,normal
2,PM1,0.85,professional_leave
2,PM2,1.00,normal
2,PM3,0.90,professional_leave
3,PM1,1.00,normal
3,PM2,0.85,equipment_repair
3,PM3,1.00,normal
4,PM1,1.00,normal
4,PM2,1.00,normal
4,PM3,0.80,equipment_repair
5,PM1,0.90,professional_leave
5,PM2,0.80,equipment_repair
5,PM3,1.00,normal
6,PM1,1.00,normal
6,PM2,1.00,normal
6,PM3,1.00,normal
7,PM1,0.75,equipment_repair
7,PM2,1.00,normal
7,PM3,0.85,professional_leave
8,PM1,1.00,normal
8,PM2,0.70,equipment_repair
8,PM3,1.00,normal
9,PM1,1.00,normal
9,PM2,1.00,normal
9,PM3,1.00,normal
10,PM1,0.90,professional_leave
10,PM2,1.00,normal
10,PM3,0.90,professional_leave
11,PM1,1.00,normal
11,PM2,0.90,professional_leave
11,PM3,1.00,normal
12,PM1,1.00,normal
12,PM2,1.00,normal
12,PM3,1.00,normal
