workshop,scope_type,direct_cost,eligible,region,minimum_hh,nominal_maximum_hh,third_party,wagon_type,scope_family,gross_weight_kg,difficulty_index,hh_per_wagon,workload_units,service_days,queue_penalty,heavy_scope,origin_region,logistics_cost,transit_days,transit_unavailability_cost,retention_cost,composite_cost
PM1,GDT-VR1,95,1,R1,180,420,0,GDT,VR1,130000,1.0,8,8,1.0,120,0,R1,4,0.5,3.0,3.0,105.0
PM1,GDT-VR1,95,1,R1,180,420,0,GDT,VR1,130000,1.0,8,8,1.0,120,0,R2,45,2.5,15.0,3.0,158.0
PM1,GDT-VR1,95,1,R1,180,420,0,GDT,VR1,130000,1.0,8,8,1.0,120,0,R3,28,1.5,9.0,3.0,135.0
PM1,GDT-VR2,120,1,R1,180,420,0,GDT,VR2,130000,1.0,12,12,1.5,150,0,R1,4,0.5,3.0,4.5,131.5
PM1,GDT-VR2,120,1,R1,180,420,0,GDT,VR2,130000,1.0,12,12,1.5,150,0,R2,45,2.5,15.0,4.5,184.5
PM1,GDT-VR2,120,1,R1,180,420,0,GDT,VR2,130000,1.0,12,12,1.5,150,0,R3,28,1.5,9.0,4.5,161.5
PM1,GDT-VR4,100,0,R1,180,420,0,GDT,VR4,130000,1.0,30,30,4.0,300,1,R1,4,0.5,3.0,12.0,119.0
PM1,GDT-VR4,100,0,R1,180,420,0,GDT,VR4,130000,1.0,30,30,4.0,300,1,R2,45,2.5,15.0,12.0,172.0
PM1,GDT-VR4,100,0,R1,180,420,0,GDT,VR4,130000,1.0,30,30,4.0,300,1,R3,28,1.5,9.0,12.0,149.0
PM1,GDT-VRG,105,0,R1,180,420,0,GDT,VRG,130000,1.0,40,40,5.0,350,1,R1,4,0.5,3.0,15.0,127.0
PM1,GDT-VRG,105,0,R1,180,420,0,GDT,VRG,130000,1.0,40,40,5.0,350,1,R2,45,2.5,15.0,15.0,180.0
PM1,GDT-VRG,105,0,R1,180,420,0,GDT,VRG,130000,1.0,40,40,5.0,350,1,R3,28,1.5,9.0,15.0,157.0
PM1,GDT-VMC,90,1,R1,180,420,0,GDT,VMC,130000,1.0,10,10,1.0,180,0,R1,4,0.5,3.0,3.0,100.0
PM1,GDT-VMC,90,1,R1,180,420,0,GDT,VMC,130000,1.0,10,10,1.0,180,0,R2,45,2.5,15.0,3.0,153.0
PM1,GDT-VMC,90,1,R1,180,420,0,GDT,VMC,130000,1.0,10,10,1.0,180,0,R3,28,1.5,9.0,3.0,130.0
PM1,GDU-VR1,70,1,R1,180,420,0,GDU,VR1,150000,1.153846,9,9,1.0,120,0,R1,4,0.5,3.0,3.0,80.0
PM1,GDU-VR1,70,1,R1,180,420,0,GDU,VR1,150000,1.153846,9,9,1.0,120,0,R2,45,2.5,15.0,3.0,133.0
