month,workshop,availability_factor,cause,region,minimum_hh,nominal_maximum_hh,third_party,maximum_hh,minimum_units,maximum_units
1,PM1,1.0,normal,R1,180,420,0,420,180,420
1,PM2,1.0,normal,R2,300,580,0,580,300,580
1,PM3,1.0,normal,R3,160,380,1,380,160,380
2,PM1,0.85,professional_leave,R1,180,420,0,357,180,357
2,PM2,1.0,normal,R2,300,580,0,580,300,580
2,PM3,0.9,professional_leave,R3,160,380,1,342,160,342
3,PM1,1.0,normal,R1,180,420,0,420,180,420
3,PM2,0.85,equipment_repair,R2,300,580,0,493,300,493
3,PM3,1.0,normal,R3,160,380,1,380,160,380
4,PM1,1.0,normal,R1,180,420,0,420,180,420
4,PM2,1.0,normal,R2,300,580,0,580,300,580
4,PM3,0.8,equipment_repair,R3,160,380,1,304,160,304
5,PM1,0.9,professional_leave,R1,180,420,0,378,180,378
5,PM2,0.8,equipment_repair,R2,300,580,0,464,300,464
5,PM3,1.0,normal,R3,160,380,1,380,160,380
6,PM1,1.0,normal,R1,180,420,0,420,180,420
6,PM2,1.0,normal,R2,300,580,0,580,300,580
6,PM3,1.0,normal,R3,160,380,1,380,160,380
7,PM1,0.75,equipment_repair,R1,180,420,0,315,180,315
7,PM2,1.0,normal,R2,300,580,0,580,300,580
7,PM3,0.85,professional_leave,R3,160,380,1,323,160,323
8,PM1,1.0,normal,R1,180,420,0,420,180,420
8,PM2,0.7,equipment_repair,R2,300,580,0,406,300,406
8,PM3,1.0,normal,R3,160,380,1,380,160,380
9,PM1,1.0,normal,R1,180,420,0,420,180,420
9,PM2,1.0,normal,R2,300,580,0,580,300,580
9,PM3,1.0,normal,R3,160,380,1,380,160,380
10,PM1,0.9,professional_leave,R1,180,420,0,378,180,378
10,PM2,1.0,normal,R2,300,580,0,580,300,580
10,PM3,0.9,professional_leave,R3,160,380,1,342,160,342
11,PM1,1.0,normal,R1,180,420,0,420,180,420
11,PM2,0.9,professional_leave,R2,300,580,0,522,300,522
11,PM3,1.0,normal,R3,160,380,1,380,160,380
12,PM1,1.0,normal,R1,180,420,0,420,180,420
12,PM2,1.0,normal,R2,300,580,0,580,300,580
12,PM3,1.0,normal,R3,160,380,1,380,160,380
