scenario,month,group_id,origin_region,scope_type,wagon_type,scope_family,workshop,allocated_wagons,total_hh,direct_cost,logistics_cost,unavailability_cost,retention_cost,composite_cost,local_assignment
local_first_heuristic,1,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,11,110.0,990.0,44.0,33.0,33.0,1100.0,1
local_first_heuristic,1,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,4,48.0,360.0,16.0,12.0,12.0,400.0,1
local_first_heuristic,1,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,3,27.0,210.0,12.0,9.0,9.0,240.0,1
local_first_heuristic,1,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,3,120.0,330.0,12.0,9.0,45.0,396.0,1
local_first_heuristic,1,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,1,30.0,105.0,4.0,3.0,12.0,124.0,1
local_first_heuristic,1,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,PM2,1,35.0,110.0,4.0,3.0,12.0,129.0,1
local_first_heuristic,1,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM2,9,90.0,630.0,36.0,27.0,27.0,720.0,1
local_first_heuristic,1,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM2,3,36.0,210.0,12.0,9.0,9.0,240.0,1
local_first_heuristic,1,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,3,30.0,258.0,12.0,9.0,24.0,303.0,1
local_first_heuristic,1,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,PM3,1,12.0,86.0,4.0,3.0,8.0,101.0,1
local_first_heuristic,1,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,PM3,1,9.0,68.0,4.0,3.0,8.0,83.0,1
local_first_heuristic,1,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,3,24.0,264.0,12.0,9.0,24.0,309.0,1
local_first_heuristic,1,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,1,12.0,86.0,38.0,12.0,8.0,144.0,0
local_first_heuristic,1,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM3,1,9.0,68.0,30.0,9.0,8.0,115.0,0
local_first_heuristic,1,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM3,3,27.0,204.0,114.0,36.0,24.0,378.0,0
local_first_heuristic,1,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM3,5,40.0,440.0,150.0,45.0,40.0,675.0,0
local_first_heuristic,1,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,3,120.0,330.0,165.0,54.0,45.0,594.0,0
local_first_heuristic,1,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,PM2,1,40.0,110.0,42.0,12.0,15.0,179.0,0
local_first_heuristic,1,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,PM2,1,30.0,105.0,55.0,18.0,12.0,190.0,0
local_first_heuristic,1,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,PM2,1,35.0,110.0,55.0,18.0,12.0,195.0,0
local_first_heuristic,1,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,3,24.0,285.0,12.0,9.0,9.0,315.0,1
local_first_heuristic,1,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM2,5,40.0,375.0,20.0,15.0,15.0,425.0,1
local_first_heuristic,1,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM3,2,16.0,176.0,76.0,24.0,16.0,292.0,0
