scenario,month,group_id,origin_region,scope_type,wagon_type,scope_family,workshop,allocated_wagons,total_hh,direct_cost,logistics_cost,unavailability_cost,retention_cost,composite_cost,local_assignment
lp_relaxation,1,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,11.0,110.0,990.0,44.0,33.0,33.0,1100.0,1
lp_relaxation,1,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,8.0,64.0,760.0,32.0,24.0,24.0,840.0,1
lp_relaxation,1,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,PM2,1.0,30.0,105.0,55.0,18.0,12.0,190.0,0
lp_relaxation,1,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,3.0,120.0,330.0,165.0,54.0,45.0,594.0,0
lp_relaxation,1,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,1.1666666666666665,13.999999999999998,104.99999999999999,4.666666666666666,3.4999999999999996,3.4999999999999996,116.66666666666666,1
lp_relaxation,1,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM3,2.8333333333333335,34.0,243.66666666666669,85.0,25.5,22.666666666666668,376.83333333333337,0
lp_relaxation,1,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,4.0,36.0,280.0,16.0,12.0,12.0,320.0,1
lp_relaxation,1,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,PM2,1.0,35.0,110.0,55.0,18.0,12.0,195.0,0
lp_relaxation,1,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM2,9.0,90.0,630.0,36.0,27.0,27.0,720.0,1
lp_relaxation,1,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM2,7.0,56.0,525.0,28.0,21.0,21.0,595.0,1
lp_relaxation,1,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,1.0,30.0,105.0,4.0,3.0,12.0,124.0,1
lp_relaxation,1,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,3.0,120.0,330.0,12.0,9.0,45.0,396.0,1
lp_relaxation,1,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,4.0,48.0,344.0,152.0,48.0,32.0,576.0,0
lp_relaxation,1,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM2,2.6666666666666665,24.0,160.0,10.666666666666666,8.0,8.0,186.66666666666666,1
lp_relaxation,1,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM3,0.3333333333333335,3.0000000000000013,22.66666666666668,12.666666666666671,4.000000000000002,2.666666666666668,42.00000000000002,0
lp_relaxation,1,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,PM2,1.0,35.0,110.0,4.0,3.0,12.0,129.0,1
lp_relaxation,1,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,3.0,30.0,258.0,12.0,9.0,24.0,303.0,1
lp_relaxation,1,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,3.0,24.0,264.0,12.0,9.0,24.0,309.0,1
