month,group_id,origin_region,scope_type,wagon_type,scope_family,demand
1,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,8
2,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,9
3,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,10
4,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,9
5,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,10
6,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,10
7,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,10
8,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,9
9,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,10
10,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,10
11,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,9
12,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,9
1,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,7
2,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,8
3,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,9
4,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,8
5,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,9
6,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,9
7,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,9
8,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,8
9,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,9
10,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,9
11,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,8
12,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,8
1,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,3
2,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,3
3,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,3
4,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,3
5,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,4
6,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,3
7,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,4
8,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,3
9,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,3
10,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,3
11,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,3
12,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,3
1,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,0
2,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,0
3,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,1
4,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,0
5,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,1
6,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,0
7,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,1
8,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,0
9,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,0
10,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,0
11,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,0
12,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,0
1,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,0
2,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,0
3,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,1
4,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,0
5,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,1
6,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,0
7,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,1
8,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,0
9,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,0
10,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,0
11,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,0
12,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,0
1,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,0
2,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,0
3,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,0
4,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,0
5,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,1
6,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,0
7,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,0
8,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,0
9,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,0
10,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,0
11,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,0
12,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,0
1,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,1
2,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,2
3,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,2
4,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,2
5,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,2
6,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,2
7,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,2
8,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,1
9,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,2
10,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,2
11,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,1
12,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,2
1,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,1
2,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,1
3,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,2
4,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,1
5,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,2
6,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,2
7,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,2
8,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,1
9,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,2
10,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,2
11,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,1
12,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,1
1,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,0
2,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,0
3,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,1
4,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,0
5,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,1
6,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,1
7,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,1
8,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,0
9,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,1
10,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,1
11,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,0
12,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,1
1,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,3
2,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,3
3,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,4
4,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,3
5,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,4
6,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,4
7,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,4
8,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,3
9,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,4
10,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,4
11,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,3
12,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,3
1,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,3
2,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,3
3,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,3
4,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,3
5,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,4
6,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,3
7,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,4
8,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,3
9,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,3
10,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,3
11,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,3
12,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,3
1,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,1
2,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,1
3,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,1
4,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,1
5,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,2
6,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,1
7,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,2
8,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,1
9,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,1
10,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,1
11,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,1
12,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,1
1,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,11
2,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,12
3,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,12
4,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,11
5,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,13
6,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,12
7,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,13
8,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,11
9,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,12
10,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,12
11,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,11
12,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,12
1,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,9
2,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,10
3,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,11
4,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,10
5,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,11
6,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,11
7,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,11
8,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,10
9,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,11
10,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,11
11,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,10
12,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,11
1,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,3
2,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,4
3,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,4
4,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,4
5,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,4
6,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,4
7,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,4
8,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,4
9,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,4
10,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,4
11,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,4
12,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,4
1,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,4
2,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,4
3,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,4
4,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,4
5,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,5
6,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,4
7,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,4
8,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,4
9,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,4
10,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,4
11,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,4
12,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,4
1,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,3
2,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,4
3,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,4
4,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,3
5,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,4
6,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,4
7,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,4
8,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,3
9,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,4
10,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,4
11,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,3
12,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,4
1,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,1
2,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,1
3,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,2
4,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,1
5,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,2
6,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,2
7,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,2
8,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,1
9,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,1
10,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,1
11,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,1
12,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,1
1,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,0
2,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,0
3,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,1
4,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,0
5,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,1
6,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,1
7,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,1
8,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,0
9,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,1
10,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,1
11,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,0
12,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,0
1,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,0
2,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,0
3,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,1
4,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,0
5,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,1
6,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,1
7,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,1
8,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,0
9,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,1
10,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,1
11,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,0
12,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,0
1,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,0
2,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,0
3,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,0
4,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,0
5,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,1
6,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,0
7,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,1
8,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,0
9,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,0
10,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,0
11,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,0
12,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,0
1,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,1
2,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,1
3,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,1
4,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,1
5,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,2
6,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,1
7,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,2
8,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,1
9,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,1
10,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,1
11,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,1
12,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,1
1,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,1
2,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,1
3,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,1
4,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,1
5,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,1
6,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,1
7,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,1
8,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,1
9,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,1
10,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,1
11,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,1
12,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,1
1,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,0
2,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,0
3,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,1
4,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,0
5,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,1
6,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,1
7,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,1
8,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,0
9,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,1
10,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,0
11,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,0
12,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,0
1,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,0
2,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,0
3,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,1
4,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,0
5,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,1
6,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,1
7,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,1
8,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,0
9,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,0
10,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,0
11,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,0
12,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,0
1,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,0
2,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,0
3,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,1
4,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,0
5,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,1
6,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,0
7,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,1
8,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,0
9,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,0
10,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,0
11,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,0
12,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,0
1,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,0
2,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,0
3,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,0
4,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,0
5,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,1
6,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,0
7,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,0
8,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,0
9,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,0
