scenario,month,group_id,origin_region,scope_type,wagon_type,scope_family,workshop,allocated_wagons,total_hh,direct_cost,logistics_cost,unavailability_cost,retention_cost,composite_cost,local_assignment
full_milp,1,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,10.0,100.0,900.0,40.0,30.0,30.0,1000.0,1
full_milp,1,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM3,1.0,10.0,86.0,30.0,9.0,8.0,133.0,0
full_milp,1,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,7.999999999999998,63.999999999999986,759.9999999999999,31.999999999999993,23.999999999999993,23.999999999999993,839.9999999999998,1
full_milp,1,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,PM2,1.0,30.0,105.0,55.0,18.0,12.0,190.0,0
full_milp,1,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,3.0,120.0,330.0,165.0,54.0,45.0,594.0,0
full_milp,1,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,2.0000000000000013,24.000000000000014,180.0000000000001,8.000000000000005,6.0000000000000036,6.0000000000000036,200.00000000000014,1
full_milp,1,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM3,1.9999999999999987,23.999999999999986,171.9999999999999,59.99999999999996,17.99999999999999,15.99999999999999,265.99999999999983,0
full_milp,1,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,4.0,36.0,280.0,16.0,12.0,12.0,320.0,1
full_milp,1,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,PM2,1.0,35.0,110.0,55.0,18.0,12.0,195.0,0
full_milp,1,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM2,9.0,90.0,630.0,36.0,27.0,27.0,720.0,1
full_milp,1,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM2,7.0,56.0,525.0,28.0,21.0,21.0,595.0,1
full_milp,1,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,1.0,30.0,105.0,4.0,3.0,12.0,124.0,1
full_milp,1,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,3.0,120.0,330.0,12.0,9.0,45.0,396.0,1
full_milp,1,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM2,2.0,24.0,140.0,8.0,6.0,6.0,160.0,1
full_milp,1,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,2.0,24.0,172.0,76.0,24.0,16.0,288.0,0
full_milp,1,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM3,3.0,27.0,204.0,114.0,36.0,24.0,378.0,0
full_milp,1,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,PM2,1.0,35.0,110.0,4.0,3.0,12.0,129.0,1
full_milp,1,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,3.0,30.0,258.0,12.0,9.0,24.0,303.0,1
full_milp,1,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,3.0,24.0,264.0,12.0,9.0,24.0,309.0,1
full_milp,1,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,PM2,1.0,40.0,110.0,42.0,12.0,15.0,179.0,0
full_milp,1,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,PM3,1.0,12.0,86.0,4.0,3.0,8.0,101.0,1
full_milp,1,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,PM3,1.0,9.0,68.0,4.0,3.0,8.0,83.0,1
full_milp,2,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,12.0,120.0,1080.0,48.0,36.0,36.0,1200.0,1
full_milp,2,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,9.0,72.0,855.0,36.0,27.0,27.0,945.0,1
full_milp,2,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,PM2,2.0,60.0,210.0,110.0,36.0,24.0,380.0,0
full_milp,2,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,3.0,120.0,330.0,165.0,54.0,45.0,594.0,0
full_milp,2,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,5.0,60.0,450.0,20.0,15.0,15.0,500.0,1
full_milp,2,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,4.0,36.0,280.0,16.0,12.0,12.0,320.0,1
full_milp,2,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,PM2,1.0,35.0,110.0,55.0,18.0,12.0,195.0,0
full_milp,2,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM2,4.0,40.0,280.0,16.0,12.0,12.0,320.0,1
full_milp,2,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM3,6.0,60.0,516.0,228.0,72.0,48.0,864.0,0
full_milp,2,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM2,8.0,64.0,600.0,32.0,24.0,24.0,680.0,1
full_milp,2,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,1.0,30.0,105.0,4.0,3.0,12.0,124.0,1
full_milp,2,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,3.0,120.0,330.0,12.0,9.0,45.0,396.0,1
full_milp,2,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,4.0,48.0,344.0,152.0,48.0,32.0,576.0,0
full_milp,2,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM2,4.0,36.0,240.0,16.0,12.0,12.0,280.0,1
full_milp,2,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,PM2,1.0,35.0,110.0,4.0,3.0,12.0,129.0,1
full_milp,2,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,4.0,40.0,344.0,16.0,12.0,32.0,404.0,1
full_milp,2,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,3.0,24.0,264.0,12.0,9.0,24.0,309.0,1
full_milp,2,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,PM2,1.0,40.0,110.0,42.0,12.0,15.0,179.0,0
full_milp,2,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,PM3,1.0,12.0,86.0,4.0,3.0,8.0,101.0,1
full_milp,2,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,PM3,1.0,9.0,68.0,4.0,3.0,8.0,83.0,1
full_milp,3,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,12.0,120.0,1080.0,48.0,36.0,36.0,1200.0,1
full_milp,3,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,10.0,80.0,950.0,40.0,30.0,30.0,1050.0,1
full_milp,3,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,PM1,1.0,12.0,120.0,4.0,3.0,4.5,131.5,1
full_milp,3,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,PM2,1.0,30.0,105.0,55.0,18.0,12.0,190.0,0
full_milp,3,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,3.0,120.0,330.0,165.0,54.0,45.0,594.0,0
full_milp,3,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,5.0,60.0,450.0,20.0,15.0,15.0,500.0,1
full_milp,3,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,4.0,36.0,280.0,16.0,12.0,12.0,320.0,1
full_milp,3,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,PM1,1.0,14.0,110.0,4.0,3.0,4.5,121.5,1
full_milp,3,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,PM2,1.0,46.0,141.0,55.0,18.0,15.0,229.0,0
full_milp,3,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM3,11.0,110.0,946.0,418.0,132.0,88.0,1584.0,0
full_milp,3,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM3,9.0,72.0,792.0,342.0,108.0,72.0,1314.0,0
full_milp,3,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,PM1,1.0,12.0,120.0,45.0,15.0,4.5,184.5,0
full_milp,3,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,2.0,60.0,210.0,8.0,6.0,24.0,248.0,1
full_milp,3,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,3.0,120.0,330.0,12.0,9.0,45.0,396.0,1
full_milp,3,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,5.0,60.0,430.0,190.0,60.0,40.0,720.0,0
full_milp,3,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM1,2.0,18.0,140.0,90.0,30.0,6.0,266.0,0
full_milp,3,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM3,2.0,18.0,136.0,76.0,24.0,16.0,252.0,0
full_milp,3,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,PM3,1.0,14.0,108.0,38.0,12.0,9.5,167.5,0
full_milp,3,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,PM2,1.0,46.0,141.0,4.0,3.0,15.0,163.0,1
full_milp,3,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,4.0,40.0,344.0,16.0,12.0,32.0,404.0,1
full_milp,3,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,3.0,24.0,264.0,12.0,9.0,24.0,309.0,1
full_milp,3,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,PM2,1.0,30.0,105.0,42.0,12.0,12.0,171.0,0
full_milp,3,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,PM2,1.0,40.0,110.0,42.0,12.0,15.0,179.0,0
full_milp,3,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,PM3,2.0,24.0,172.0,8.0,6.0,16.0,202.0,1
full_milp,3,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,PM3,2.0,18.0,136.0,8.0,6.0,16.0,166.0,1
full_milp,4,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,11.0,110.0,990.0,44.0,33.0,33.0,1100.0,1
full_milp,4,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,9.0,72.0,855.0,36.0,27.0,27.0,945.0,1
