scope_type,wagon_type,scope_family,gross_weight_kg,difficulty_index,hh_per_wagon,workload_units,service_days,queue_penalty,heavy_scope
GDT-VR1,GDT,VR1,130000,1.000000,8,8,1.0,120,0
GDT-VR2,GDT,VR2,130000,1.000000,12,12,1.5,150,0
GDT-VR4,GDT,VR4,130000,1.000000,30,30,4.0,300,1
GDT-VRG,GDT,VRG,130000,1.000000,40,40,5.0,350,1
GDT-VMC,GDT,VMC,130000,1.000000,10,10,1.0,180,0
GDU-VR1,GDU,VR1,150000,1.153846,9,9,1.0,120,0
GDU-VR2,GDU,VR2,150000,1.153846,14,14,1.5,150,0
GDU-VR4,GDU,VR4,150000,1.153846,35,35,4.0,300,1
GDU-VRG,GDU,VRG,150000,1.153846,46,46,5.0,350,1
GDU-VMC,GDU,VMC,150000,1.153846,12,12,1.0,180,0
