workshop,scope_type,direct_cost,eligible
PM1,GDT-VR1,95,1
PM1,GDT-VR2,120,1
PM1,GDT-VR4,100,0
PM1,GDT-VRG,105,0
PM1,GDT-VMC,90,1
PM1,GDU-VR1,70,1
PM1,GDU-VR2,110,1
PM1,GDU-VR4,115,0
PM1,GDU-VRG,140,0
PM1,GDU-VMC,90,1
PM2,GDT-VR1,75,1
PM2,GDT-VR2,125,1
PM2,GDT-VR4,105,1
PM2,GDT-VRG,110,1
PM2,GDT-VMC,70,1
PM2,GDU-VR1,60,1
PM2,GDU-VR2,115,1
PM2,GDU-VR4,110,1
PM2,GDU-VRG,141,1
PM2,GDU-VMC,70,1
PM3,GDT-VR1,88,1
PM3,GDT-VR2,118,1
PM3,GDT-VR4,98,0
PM3,GDT-VRG,112,0
PM3,GDT-VMC,86,1
PM3,GDU-VR1,68,1
PM3,GDU-VR2,108,1
PM3,GDU-VR4,109,0
PM3,GDU-VRG,135,0
PM3,GDU-VMC,86,1
